"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 23 06:44:13 GMT 2025","Wed Apr 23 06:44:13 GMT 2025","124","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testUpdatePost","testUpdatePost","Verify PUT /posts/{id} updates a post"
"passed","Wed Apr 23 06:44:13 GMT 2025","Wed Apr 23 06:44:13 GMT 2025","98","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testGetPostById","testGetPostById","Verify GET /posts/{id} returns specific post"
"passed","Wed Apr 23 06:44:13 GMT 2025","Wed Apr 23 06:44:13 GMT 2025","57","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testGetPostInvalidId","testGetPostInvalidId","Verify GET /posts/{id} with invalid ID returns 404"
"passed","Wed Apr 23 06:44:12 GMT 2025","Wed Apr 23 06:44:13 GMT 2025","213","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testGetAllPosts","testGetAllPosts","Verify GET /posts returns list of posts"
"passed","Wed Apr 23 06:44:10 GMT 2025","Wed Apr 23 06:44:12 GMT 2025","2497","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testCreatePost","testCreatePost","Verify POST /posts creates a new post"
"passed","Wed Apr 23 06:44:12 GMT 2025","Wed Apr 23 06:44:12 GMT 2025","106","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testDeletePost","testDeletePost","Verify DELETE /posts/{id} deletes a post"
