"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 23 07:31:06 GMT 2025","Wed Apr 23 07:31:06 GMT 2025","201","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testGetAllPosts","testGetAllPosts","Verify GET /posts returns list of posts"
"passed","Wed Apr 23 07:31:03 GMT 2025","Wed Apr 23 07:31:05 GMT 2025","2511","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testCreatePost","testCreatePost","Verify POST /posts creates a new post"
"passed","Wed Apr 23 07:31:06 GMT 2025","Wed Apr 23 07:31:06 GMT 2025","87","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testGetPostById","testGetPostById","Verify GET /posts/{id} returns specific post"
"passed","Wed Apr 23 07:31:06 GMT 2025","Wed Apr 23 07:31:06 GMT 2025","276","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testUpdatePost","testUpdatePost","Verify PUT /posts/{id} updates a post"
"passed","Wed Apr 23 07:31:06 GMT 2025","Wed Apr 23 07:31:06 GMT 2025","290","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testGetPostInvalidId","testGetPostInvalidId","Verify GET /posts/{id} with invalid ID returns 404"
"passed","Wed Apr 23 07:31:05 GMT 2025","Wed Apr 23 07:31:06 GMT 2025","150","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testDeletePost","testDeletePost","Verify DELETE /posts/{id} deletes a post"
