"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 21 11:14:24 GMT 2025","Mon Apr 21 11:14:27 GMT 2025","2695","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testCreatePost","testCreatePost","Verify POST /posts creates a new post"
"passed","Mon Apr 21 11:14:28 GMT 2025","Mon Apr 21 11:14:28 GMT 2025","216","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testGetAllPosts","testGetAllPosts","Verify GET /posts returns list of posts"
"passed","Mon Apr 21 11:14:27 GMT 2025","Mon Apr 21 11:14:28 GMT 2025","310","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testDeletePost","testDeletePost","Verify DELETE /posts/{id} deletes a post"
"passed","Mon Apr 21 11:14:28 GMT 2025","Mon Apr 21 11:14:28 GMT 2025","318","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testUpdatePost","testUpdatePost","Verify PUT /posts/{id} updates a post"
"passed","Mon Apr 21 11:14:28 GMT 2025","Mon Apr 21 11:14:28 GMT 2025","94","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testGetPostById","testGetPostById","Verify GET /posts/{id} returns specific post"
"passed","Mon Apr 21 11:14:28 GMT 2025","Mon Apr 21 11:14:28 GMT 2025","59","Gradle suite","Gradle test","qa.deepakkc014.PostsTests","qa.deepakkc014.PostsTests","testGetPostInvalidId","testGetPostInvalidId","Verify GET /posts/{id} with invalid ID returns 404"
